frame_name,gt_name,width,height,time_sec,gflops,e1,ns1,streak_area,percentage_streak_area,psnr_db,ssim
frame_000359.png,frame_000000.png,1280,720,1.655490,8.725018,0.759496,0.058380,0.287095,28.709527,15.747646,0.552874
frame_000360.png,frame_000000.png,1280,720,1.731313,8.725018,0.762901,0.067350,0.289910,28.990994,15.422980,0.533034
frame_000361.png,frame_000000.png,1280,720,1.641953,8.725018,0.758631,0.056914,0.283480,28.347982,15.732561,0.561570
frame_000362.png,frame_000000.png,1280,720,1.621380,8.725018,0.757330,0.059760,0.270353,27.035265,15.612108,0.557841
frame_000363.png,frame_000000.png,1280,720,1.598443,8.725018,0.758858,0.056355,0.286211,28.621094,15.849174,0.569474
frame_000364.png,frame_000000.png,1280,720,1.664065,8.725018,0.758424,0.058966,0.287444,28.744358,15.619225,0.560544
frame_000365.png,frame_000000.png,1280,720,1.627433,8.725018,0.759768,0.058686,0.284864,28.486437,15.711834,0.569172
frame_000366.png,frame_000000.png,1280,720,1.622350,8.725018,0.761765,0.063648,0.288340,28.833984,15.450806,0.565068
frame_000367.png,frame_000000.png,1280,720,1.628900,8.725018,0.760304,0.061211,0.282186,28.218641,15.617007,0.575100
frame_000368.png,frame_000000.png,1280,720,1.739542,8.725018,0.761978,0.069426,0.281910,28.190972,15.587771,0.567628
frame_000369.png,frame_000000.png,1280,720,1.620600,8.725018,0.760776,0.056427,0.284838,28.483832,15.959905,0.593040
frame_000370.png,frame_000000.png,1280,720,1.618024,8.725018,0.760403,0.052168,0.282112,28.211155,16.453226,0.601014
frame_000371.png,frame_000000.png,1280,720,1.634434,8.725018,0.757550,0.054352,0.280981,28.098090,16.466355,0.611165
frame_000372.png,frame_000000.png,1280,720,1.563116,8.725018,0.756594,0.051822,0.282714,28.271376,16.530025,0.612042
frame_000373.png,frame_000000.png,1280,720,1.551751,8.725018,0.759103,0.048516,0.289986,28.998589,16.915870,0.630151
frame_000374.png,frame_000000.png,1280,720,1.608857,8.725018,0.761018,0.054883,0.298245,29.824544,16.548089,0.612656
