frame_name,width,height,time_sec,gflops,e1,ns1,streak_area,percentage_streak_area
SIDEL_0020.jpg,1744,981,5.949155,16.246208,0.000000,0.159296,0.059634,5.963420
SIDEL_0021.jpg,1744,981,5.945059,16.246208,0.000000,0.159369,0.059405,5.940507
SIDEL_0022.jpg,1744,981,6.001002,16.246208,0.000000,0.159189,0.059420,5.941969
SIDEL_0023.jpg,1744,981,5.938966,16.246208,0.000000,0.159093,0.059032,5.903158
SIDEL_0024.jpg,1744,981,6.095939,16.246208,0.000000,0.159089,0.059241,5.924083
SIDEL_0025.jpg,1744,981,6.891082,16.246208,0.000000,0.159003,0.059726,5.972596
SIDEL_0026.jpg,1744,981,6.404792,16.246208,0.000000,0.158764,0.059745,5.974467
SIDEL_0027.jpg,1744,981,6.064538,16.246208,0.000000,0.159175,0.059665,5.966518
SIDEL_0028.jpg,1744,981,6.185979,16.246208,0.000000,0.159004,0.059560,5.955997
SIDEL_0029.jpg,1744,981,5.728691,16.246208,0.000000,0.158930,0.059061,5.906139
SIDEL_0030.jpg,1744,981,5.863441,16.246208,0.000000,0.159630,0.059543,5.954301
SIDEL_0031.jpg,1744,981,6.280569,16.246208,0.000000,0.159489,0.058937,5.893747
SIDEL_0032.jpg,1744,981,6.984404,16.246208,0.000000,0.159404,0.059677,5.967745
SIDEL_0033.jpg,1744,981,6.416252,16.246208,0.000000,0.159851,0.059126,5.912627
SIDEL_0034.jpg,1744,981,6.977215,16.246208,0.000000,0.159474,0.059534,5.953425
SIDEL_0035.jpg,1744,981,6.797700,16.246208,0.000000,0.159555,0.059702,5.970200
SIDEL_0036.jpg,1744,981,6.332827,16.246208,0.000000,0.159507,0.059250,5.924960
SIDEL_0037.jpg,1744,981,6.793881,16.246208,0.000000,0.159767,0.058847,5.884746
SIDEL_0038.jpg,1744,981,6.510882,16.246208,0.000000,0.159225,0.058035,5.803500
SIDEL_0039.jpg,1744,981,6.499052,16.246208,0.000000,0.159968,0.058930,5.892987
SIDEL_0040.jpg,1744,981,6.153054,16.246208,0.000000,0.159843,0.059478,5.947755
SIDEL_0041.jpg,1744,981,6.745911,16.246208,0.000000,0.159760,0.058674,5.867386
SIDEL_0042.jpg,1744,981,6.163514,16.246208,0.000000,0.158504,0.059036,5.903567
SIDEL_0043.jpg,1744,981,6.773345,16.246208,0.000000,0.158929,0.060021,6.002055
SIDEL_0044.jpg,1744,981,6.340057,16.246208,0.000000,0.159517,0.060194,6.019356
SIDEL_0045.jpg,1744,981,6.303892,16.246208,0.000000,0.158870,0.059404,5.940449
SIDEL_0046.jpg,1744,981,6.423805,16.246208,0.000000,0.159201,0.059346,5.934604
SIDEL_0047.jpg,1744,981,7.333518,16.246208,0.000000,0.158955,0.059274,5.927356
SIDEL_0048.jpg,1744,981,6.707801,16.246208,0.000000,0.159107,0.059761,5.976103
SIDEL_0049.jpg,1744,981,7.782462,16.246208,0.000000,0.159482,0.059350,5.934955
SIDEL_0050.jpg,1744,981,6.826164,16.246208,0.000000,0.159290,0.058196,5.819633
SIDEL_0051.jpg,1744,981,6.975664,16.246208,0.000000,0.159166,0.058925,5.892520
SIDEL_0052.jpg,1744,981,7.160695,16.246208,0.000000,0.158201,0.059242,5.924200
SIDEL_0053.jpg,1744,981,7.181051,16.246208,0.000000,0.158756,0.058714,5.871419
SIDEL_0054.jpg,1744,981,7.919200,16.246208,0.000000,0.158304,0.058645,5.864522
SIDEL_0055.jpg,1744,981,7.318866,16.246208,0.000000,0.159010,0.059077,5.907658
SIDEL_0056.jpg,1744,981,7.244435,16.246208,0.000000,0.159839,0.058989,5.898949
SIDEL_0057.jpg,1744,981,7.131634,16.246208,0.000000,0.159684,0.059186,5.918647
SIDEL_0058.jpg,1744,981,7.412820,16.246208,0.000000,0.159561,0.058671,5.867094
SIDEL_0059.jpg,1744,981,7.497192,16.246208,0.000000,0.159951,0.058816,5.881590
SIDEL_0060.jpg,1744,981,7.310977,16.246208,0.000000,0.159892,0.058247,5.824718
SIDEL_0061.jpg,1744,981,7.298940,16.246208,0.000000,0.160629,0.058590,5.859028
SIDEL_0062.jpg,1744,981,7.669145,16.246208,0.000000,0.160458,0.059122,5.912159
SIDEL_0063.jpg,1744,981,7.722784,16.246208,0.000000,0.159766,0.058415,5.841493
